F1,F2,F3,F4,F5,F6,F7,F8,NIR_1,NIR_2,Ripeness,Date,prediction
83.0,65,88,113,558,1000,1000,814,195,169,1,06/14,
91.0,163,166,404,910,1000,1000,734,173,169,1,06/14,
107.0,210,217,533,1000,1000,1000,743,171,163,1,06/14,
33.0,44,49,75,154,324,531,368,70,70,1,06/14,
67.0,52,72,79,798,1000,1000,654,167,183,1,06/14,
25.0,20,25,23,109,377,576,341,62,64,1,06/14,
52.0,40,56,57,490,1000,984,473,130,124,1,06/14,
66.0,74,89,106,269,851,1000,649,146,118,2,06/14,
118.0,499,706,463,103,441,625,410,78,66,2,06/14,
90.0,429,642,431,88,425,638,430,70,66,2,06/14,
40.0,35,41,52,199,581,901,608,98,109,2,06/14,
32.0,29,31,30,56,231,603,565,80,64,2,06/14,
51.0,98,96,169,397,673,811,484,110,111,2,06/14,
48.0,49,54,57,84,178,782,1000,102,104,2,06/14,
37.0,31,31,29,40,65,539,856,86,83,2,06/14,
40.0,37,39,38,55,124,712,883,91,92,2,06/14,
30.0,26,33,101,315,462,515,380,68,78,3,06/14,
20.0,26,27,58,157,242,300,229,48,32,3,06/14,
15.0,13,16,38,135,223,285,240,36,52,3,06/14,
2.0,2,2,2,2,1,1,7,10,8,3,06/14,
3.0,2,2,3,0,0,0,4,12,0,3,06/14,
3.0,2,3,3,3,2,3,9,12,12,3,06/14,
55.0,82,89,232,719,530,349,367,126,130,0,06/15,
79.0,215,182,444,908,700,477,401,146,148,0,06/15,
48.0,68,73,186,452,300,175,207,120,118,0,06/15,
260.0,506,514,1000,1000,1000,1000,1000,404,401,0,06/15,
287.0,571,591,1000,1000,1000,1000,1000,448,445,0,06/15,
233.0,368,405,1000,1000,1000,1000,1000,410,420,0,06/15,
173.0,128,195,788,1000,1000,1000,1000,391,394,0,06/15,
176.0,137,208,809,1000,1000,1000,1000,360,366,0,06/15,
165.0,132,189,698,1000,1000,1000,1000,354,358,0,06/15,
145.0,120,156,214,1000,1000,1000,1000,337,329,1,06/15,
200.0,217,257,412,1000,1000,1000,1000,425,425,1,06/15,
174.0,162,199,277,1000,1000,1000,1000,385,385,1,06/15,
132.0,314,264,395,800,1000,1000,1000,226,231,1,06/15,
192.0,358,357,788,1000,1000,1000,1000,326,330,1,06/15,
151.0,458,323,494,1000,1000,1000,1000,216,220,1,06/15,
49.0,42,49,46,128,541,1000,778,128,132,1,06/15,
72.0,58,75,70,409,1000,1000,884,187,191,1,06/15,
117.0,90,126,130,1000,1000,1000,1000,294,300,1,06/15,
143.0,155,179,214,672,1000,1000,1000,329,326,2,06/15,
187.0,334,312,451,1000,1000,1000,1000,406,400,2,06/15,
155.0,144,174,186,741,1000,1000,1000,375,365,2,06/15,
123.0,215,208,318,823,1000,1000,1000,273,273,2,06/15,
75.0,108,106,137,274,641,1000,1000,171,169,2,06/15,
59.0,47,61,104,450,949,1000,658,151,154,2,06/15,
80.0,69,74,72,100,341,1000,1000,190,196,2,06/15,
77.0,65,66,63,79,305,1000,1000,196,179,2,06/15,
63.0,53,53,50,65,120,939,1000,158,144,2,06/15,
24.0,20,24,50,165,286,366,297,64,50,3,06/15,
54.0,48,60,160,504,739,841,623,124,118,3,06/15,
66.0,57,70,203,657,972,1000,759,157,156,3,06/15,
3.0,2,2,3,3,4,4,10,14,17,3,06/15,
4.0,3,3,4,3,3,3,10,18,16,3,06/15,
4.0,3,3,4,4,4,5,15,18,20,3,06/15,
43.0,44,46,121,322,179,93,172,126,134,0,06/16,
39.0,39,39,86,209,107,53,129,130,124,0,06/16,
63.0,92,95,229,554,366,226,277,156,164,0,06/16,
329.0,498,543,1000,1000,1000,1000,1000,611,620,0,06/16,
286.0,344,411,1000,1000,1000,1000,1000,580,587,0,06/16,
253.0,326,379,1000,1000,1000,1000,1000,477,484,0,06/16,
392.0,348,498,1000,1000,1000,1000,1000,748,754,0,06/16,
269.0,205,295,1000,1000,1000,1000,1000,602,605,0,06/16,
346.0,288,406,1000,1000,1000,1000,1000,741,746,0,06/16,
201.0,167,214,244,1000,1000,1000,1000,472,473,1,06/16,
245.0,212,268,341,1000,1000,1000,1000,560,554,1,06/16,
317.0,270,348,543,1000,1000,1000,1000,683,693,1,06/16,
200.0,377,365,812,1000,1000,1000,1000,384,381,1,06/16,
158.0,206,224,488,1000,1000,1000,1000,324,323,1,06/16,
52.0,50,58,91,238,617,977,695,126,135,1,06/16,
163.0,124,175,171,1000,1000,1000,1000,399,410,1,06/16,
83.0,67,83,75,355,1000,1000,1000,207,208,1,06/16,
58.0,48,55,49,121,552,1000,956,144,149,1,06/16,
105.0,85,105,90,287,1000,1000,1000,257,251,2,06/16,
160.0,127,159,136,498,1000,1000,1000,392,392,2,06/16,
126.0,100,125,107,382,1000,1000,1000,314,330,2,06/16,
68.0,59,66,62,150,606,1000,1000,176,166,2,06/16,
92.0,77,93,113,444,1000,1000,1000,222,232,2,06/16,
68.0,61,71,90,293,825,1000,1000,173,170,2,06/16,
77.0,66,67,63,89,139,1000,1000,184,185,2,06/16,
71.0,62,62,57,79,137,1000,1000,169,167,2,06/16,
90.0,76,78,73,99,304,1000,1000,208,212,2,06/16,
15.0,13,15,23,77,156,230,217,44,38,3,06/16,
34.0,29,36,79,278,466,575,456,82,84,3,06/16,
24.0,20,23,39,117,220,323,326,66,55,3,06/16,
7.0,7,8,7,4,5,5,16,30,22,3,06/16,
2.0,2,3,2,6,7,6,17,14,26,3,06/16,
7.0,6,7,7,5,5,5,17,30,24,3,06/16,
35.0,44,44,114,283,176,100,139,111,112,0,06/17,
34.0,37,38,108,284,161,81,130,108,110,0,06/17,
31.0,31,32,73,180,94,48,104,108,105,0,06/17,
276.0,477,514,1000,1000,1000,1000,1000,465,464,0,06/17,
277.0,516,534,1000,1000,1000,1000,1000,449,453,0,06/17,
161.0,220,249,859,1000,1000,1000,991,324,321,0,06/17,
253.0,216,309,1000,1000,1000,1000,1000,531,536,0,06/17,
231.0,191,285,1000,1000,1000,1000,1000,499,502,0,06/17,
227.0,202,285,1000,1000,1000,1000,1000,478,482,0,06/17,
227.0,228,280,437,1000,1000,1000,1000,451,449,1,06/17,
183.0,177,210,298,1000,1000,1000,1000,415,419,1,06/17,
137.0,108,141,151,859,1000,1000,1000,340,343,1,06/17,
94.0,98,119,359,944,1000,1000,792,227,222,1,06/17,
144.0,233,241,547,1000,1000,1000,1000,273,273,1,06/17,
82.0,103,115,217,549,1000,1000,748,187,179,1,06/17,
41.0,36,39,37,95,424,900,645,108,88,1,06/17,
36.0,30,35,31,82,359,808,619,98,112,1,06/17,
97.0,74,102,100,824,1000,1000,900,251,241,1,06/17,
69.0,67,76,95,239,863,1000,999,171,164,2,06/17,
152.0,290,279,401,940,1000,1000,1000,324,328,2,06/17,
99.0,79,99,87,353,1000,1000,1000,253,240,2,06/17,
21.0,32,32,44,78,132,286,334,56,60,2,06/17,
78.0,65,81,118,532,1000,1000,906,194,202,2,06/17,
28.0,24,27,25,70,302,638,525,68,80,2,06/17,
40.0,34,34,32,44,67,535,919,104,102,2,06/17,
39.0,33,32,30,46,69,570,974,96,109,2,06/17,
40.0,35,35,33,44,72,599,960,110,105,2,06/17,
2.0,1,2,5,46,96,70,73,0,0,3,06/17,
8.0,6,7,13,67,128,85,82,0,0,3,06/17,
5.0,3,5,8,54,111,72,78,0,0,3,06/17,
1.0,1,1,1,1,1,0,3,0,0,3,06/17,
1.0,1,2,2,2,2,1,4,0,0,3,06/17,
1.0,1,1,1,1,0,0,1,0,0,3,06/17,
31.0,42,51,110,259,174,108,125,120,117,0,06/18,
33.0,51,58,131,318,224,146,144,110,117,0,06/18,
31.0,43,46,120,289,186,118,131,104,98,0,06/18,
172.0,283,318,1000,1000,1000,1000,976,297,300,0,06/18,
114.0,180,199,608,1000,1000,1000,723,210,220,0,06/18,
172.0,258,289,932,1000,1000,1000,1000,306,315,0,06/18,
121.0,91,130,470,1000,1000,1000,1000,281,285,0,06/18,
83.0,65,90,287,941,1000,1000,782,199,191,0,06/18,
119.0,88,127,509,1000,1000,1000,1000,273,273,0,06/18,
102.0,87,111,145,715,1000,1000,1000,245,244,1,06/18,
134.0,152,171,264,1000,1000,1000,1000,285,291,1,06/18,
133.0,123,151,214,1000,1000,1000,1000,309,306,1,06/18,
64.0,83,93,156,363,739,1000,641,136,134,1,06/18,
96.0,123,143,411,999,1000,1000,778,207,212,1,06/18,
24.0,22,25,33,77,215,413,327,64,60,1,06/18,
26.0,21,25,22,62,268,612,476,68,80,1,06/18,
72.0,55,76,72,605,1000,1000,682,183,178,1,06/18,
31.0,26,30,27,70,296,638,468,84,78,1,06/18,
86.0,94,109,128,358,1000,1000,1000,197,196,2,06/18,
85.0,78,93,101,264,1000,1000,1000,202,202,2,06/18,
44.0,35,43,38,148,671,986,677,112,122,2,06/18,
62.0,66,75,116,378,866,1000,743,152,150,2,06/18,
41.0,46,50,61,142,391,774,657,92,98,2,06/18,
42.0,88,83,117,241,414,648,512,90,93,2,06/18,
44.0,36,37,36,50,170,907,948,110,118,2,06/18,
46.0,38,39,38,50,158,894,970,114,116,2,06/18,
42.0,35,35,34,43,78,628,950,106,96,2,06/18,
6.0,4,5,8,22,48,77,78,18,18,3,06/18,
1.0,1,1,2,9,21,37,42,4,10,3,06/18,
2.0,1,2,3,7,18,35,39,8,6,3,06/18,
2.0,2,3,4,9,10,9,15,12,20,3,06/18,
4.0,3,3,4,3,3,3,10,16,12,3,06/18,
4.0,4,4,5,5,5,6,12,18,14,3,06/18,
53.0,70,74,184,420,277,162,214,136,134,0,06/19,
53.0,73,77,194,471,306,185,233,138,136,0,06/19,
32.0,32,32,58,136,79,44,100,111,113,0,06/19,
253.0,474,485,1000,1000,1000,1000,1000,365,363,0,06/19,
159.0,178,224,1000,1000,1000,1000,963,324,330,0,06/19,
283.0,578,561,1000,1000,1000,1000,1000,403,406,0,06/19,
200.0,171,251,953,1000,1000,1000,1000,419,407,0,06/19,
307.0,294,419,1000,1000,1000,1000,1000,491,499,0,06/19,
323.0,344,453,1000,1000,1000,1000,1000,524,524,0,06/19,
232.0,226,279,449,1000,1000,1000,1000,428,435,1,06/19,
151.0,122,156,177,944,1000,1000,1000,360,363,1,06/19,
238.0,251,296,531,1000,1000,1000,1000,418,423,1,06/19,
77.0,144,151,196,443,816,1000,903,136,140,1,06/19,
59.0,69,75,101,236,576,1000,770,115,118,1,06/19,
70.0,70,86,231,623,1000,1000,653,160,163,1,06/19,
40.0,33,37,33,79,361,842,656,98,94,1,06/19,
90.0,68,94,89,691,1000,1000,927,221,235,1,06/19,
48.0,39,45,41,104,468,1000,743,119,107,1,06/19,
29.0,36,40,68,160,321,446,333,62,64,2,06/19,
59.0,53,63,63,199,729,1000,823,150,140,2,06/19,
73.0,60,70,62,146,801,1000,1000,182,166,2,06/19,
55.0,72,76,95,218,558,999,761,124,124,2,06/19,
98.0,227,201,304,655,1000,1000,945,175,177,2,06/19,
151.0,343,296,498,1000,1000,1000,1000,270,273,2,06/19,
47.0,40,39,37,53,69,602,1000,113,112,2,06/19,
50.0,42,42,40,58,84,676,1000,117,120,2,06/19,
56.0,46,48,45,60,206,1000,1000,128,128,2,06/19,
0.0,0,0,0,2,3,9,14,0,6,3,06/19,
2.0,1,1,1,1,2,9,14,6,2,3,06/19,
1.0,0,1,1,0,4,11,18,4,2,3,06/19,
3.0,2,2,3,3,3,2,9,14,14,3,06/19,
4.0,3,4,4,3,3,3,11,16,14,3,06/19,
2.0,1,2,2,3,3,2,10,8,14,3,06/19,
34.0,34,37,119,331,182,89,131,128,126,0,06/20,
57.0,82,88,257,649,431,254,248,248,240,0,06/20,
43.0,51,54,172,448,264,141,169,134,132,0,06/20,
118.0,114,150,735,1000,1000,1000,732,255,261,0,06/20,
131.0,148,184,765,1000,1000,1000,809,276,273,0,06/20,
92.0,81,108,427,1000,1000,1000,646,210,206,0,06/20,
148.0,110,160,637,1000,1000,1000,1000,337,343,0,06/20,
162.0,132,189,727,1000,1000,1000,1000,373,369,0,06/20,
137.0,103,148,549,1000,1000,1000,1000,321,321,0,06/20,
142.0,129,162,200,957,1000,1000,1000,324,324,1,06/20,
143.0,122,157,228,1000,1000,1000,1000,335,334,1,06/20,
133.0,111,143,192,1000,1000,1000,1000,315,318,1,06/20,
44.0,41,48,75,197,471,803,592,112,108,1,06/20,
68.0,69,85,216,583,972,1000,639,163,161,1,06/20,
44.0,38,46,94,305,601,744,452,118,106,1,06/20,
30.0,25,28,25,58,264,634,503,84,82,1,06/20,
34.0,28,32,28,80,338,708,534,92,90,1,06/20,
69.0,53,73,70,624,1000,1000,654,184,189,1,06/20,
56.0,45,53,47,112,616,1000,860,146,130,2,06/20,
64.0,51,62,53,132,728,1000,1000,161,151,2,06/20,
61.0,48,58,50,136,738,1000,1000,153,164,2,06/20,
44.0,37,43,40,117,467,963,783,111,125,2,06/20,
40.0,36,41,47,142,446,827,648,104,110,2,06/20,
41.0,36,43,62,228,561,796,528,108,108,2,06/20,
38.0,32,32,30,41,58,489,882,102,104,2,06/20,
38.0,32,32,30,42,55,467,880,100,102,2,06/20,
43.0,36,36,35,48,107,724,936,112,118,2,06/20,
0.0,0,0,0,2,3,9,13,2,6,3,06/20,
1.0,0,1,0,0,0,4,8,4,0,3,06/20,
3.0,3,3,2,29,34,34,27,10,10,3,06/20,
4.0,3,4,4,1,1,0,7,16,8,3,06/20,
3.0,3,2,2,2,2,2,8,12,10,3,06/20,
2.0,1,1,2,3,3,2,7,10,12,3,06/20,
32.0,32,32,58,136,79,44,100,111,113,4,06/19,0.0
8.0,14,16,17,28,32,29,38,31,32,4,06/29,3.0
83.0,65,109,113,589,1000,1000,839,195,169,4,06/29,1.0
90.0,87,109,232,732,600,349,367,126,130,4,06/29,0.0
189.0,120,210,147,1000,1000,1000,1000,390,410,4,06/29,1.0
